V,VERR,I,IERR,CONC,CONCERR
-80.097929787234,0.063537690019048,-7750.48436170213,68.0855156367282,0,0
-75.08145,0.0585311225809662,-7452.40471153846,71.6755194899602,0,0
-70.1218415841584,0.0606273788403744,-7118.09178217822,54.1582893353149,0,0
-65.1208121212121,0.0621320673470641,-6764.07606060606,70.6436138615566,0,0
-60.144948,0.0605903350385355,-6342.8041,64.7954010576182,0,0
-55.147388,0.0590684742868392,-5910.5073,74.6835219288969,0,0
-50.158692,0.0579001514246023,-5470.6729,69.4031583760263,0,0
-45.1492132653061,0.065704247106573,-4977.18683673469,76.3042435709793,0,0
-40.1719088235294,0.0582341135495117,-4452.00637254902,80.2960894315743,0,0
-35.161748,0.0601787212903617,-3918.5273,82.6704191093277,0,0
-30.187061,0.0643139283457344,-3389.4227,81.5793088454276,0,0
-25.2072141414141,0.062787066829655,-2840.07080808081,84.7067362672181,0,0
-20.191652,0.0578323308901063,-2270.3305,79.2181039583451,0,0
-15.192263,0.0631966876597526,-1692.8926,75.4194745621943,0,0
-10.2076782178218,0.0646382693305825,-1096.06506930693,90.3425173856265,0,0
-5.22713717171717,0.0605771650322216,-494.600517171718,90.5158398184886,0,0
-0.2407837,0.0600965150333199,109.649655,88.7076440098669,0,0
4.7387694,0.0588731146080581,683.81967,66.9536661306991,0,0
9.72523470588236,0.0622447206942729,1179.43264705882,60.6400751934175,0,0
14.7175693877551,0.0595443282106301,1567.25520408163,46.8909591875634,0,0
19.7185480392157,0.0604471779320328,1916.92274509804,35.0948132628644,0,0
