LOGCONC,CONC,I,IERR,FOPEN,FOPENERR,THETA,THETAERR,LOGQ,LOGQERR,V
--,0,-7452.40471153846,71.6755194899602,1.00642441901848,0.0135549839501595,-156.656098570772,328.421280088211,--,0.910475563882858,-75.08145
--,0,-7357.26121212121,67.9583638613077,0.993575580981523,0.0131143823269803,154.656098570777,317.746022218099,2.18936705025846,0.89227224384479,-75.094508080808
1.30102999566398,20,-6246.4112,71.6399826810885,0.843558690952082,0.0125243720559529,5.39217356391269,0.511744375241369,0.731763862873775,0.0412167293352266,-75.103146
1.30102999566398,20,-6282.5015,96.0111828109314,0.848432575371357,0.0152351431044856,5.59772376848198,0.663185153557682,0.748011463479208,0.0514526376403114,-75.094905
1.77815125038364,60,-36.4730376237624,6.50481955306918,0.00492557196249696,0.000879682683781819,0.00494995331375486,0.000888413014231474,-2.30539889716224,0.0779467694492425,-75.0880435643564
1.77815125038364,60,-34.8393626262626,6.45100710113595,0.00470494916034586,0.000872317437739067,0.00472719035061679,0.000880584151979894,-2.32539690953164,0.0809006639655253,-75.0892626262626
2.25527250510331,180,-34.9934939393939,4.50294010217796,0.00472576412186164,0.000609738468172492,0.00474820300928624,0.000615542539048461,-2.32347072107212,0.0563006104757194,-75.1000595959595
2.25527250510331,180,-38.021851,4.31801188257976,0.005134734462748,0.00058514050886213,0.00516123603930942,0.000591196192608964,-2.28724627884412,0.0497464642610376,-75.08636
2.73239375982297,540,-13.988679047619,2.1922206303935,0.00188912823823675,0.000296588009417897,0.00189270379842898,0.000297711778397316,-2.72291734629666,0.0683121060267737,-75.0961942857142
2.73239375982297,540,-16.340497029703,2.0620002986361,0.00220673404976647,0.000279243037839651,0.00221161449477705,0.0002804795595841,-2.65529057238629,0.0550777385939989,-75.1004306930693
