V,FILE,SLOPE,SLOPEERR,INT,INTERR,RSQUARED,SIGMA,DURBINWATSON
-80.0970529213014,FIT0.txt,-2.20462527884499,0.483047982398606,2.78792514987927,1.0968335044257,0.676644127302513,0.938746086573952,1.76765306711507
-75.0948002206702,FIT1.txt,-2.15394626890043,0.457306645682106,2.70139584964522,1.03832969237338,0.688949363709438,0.891476500286708,1.95552467238697
-70.121052995803,FIT2.txt,-2.03992352063865,0.410469123285141,2.57400145606262,0.931033801569422,0.707469436154956,0.807976644351751,2.27478173711831
-65.1194289451781,FIT3.txt,-1.82515149782713,0.351847747138527,2.34218441728427,0.797049617883491,0.721781011027846,0.697979577791539,2.50244629652061
-60.1520270210896,FIT4.txt,-1.59638576436708,0.306881499975827,2.07292493049826,0.695513473423009,0.724077574065537,0.607004536005234,2.21747036750814
-55.1519780430543,FIT5.txt,-1.43101757069448,0.28661952708412,1.89370152449962,0.650501879145938,0.713081378108402,0.559123730962471,1.50622497668543
-50.1561572651212,FIT6.txt,-1.32446774524278,0.269372495764846,1.79599714138001,0.611560343701341,0.707589082920657,0.524445972543423,1.22670010166688
-45.1498145140955,FIT7.txt,-1.28195320804421,0.260461459105489,1.81606235147085,0.591342532978983,0.708992169216729,0.505890973873555,2.76422168998273
-40.1764200679318,FIT8.txt,-1.26770717655786,0.255970705236617,1.88942003139292,0.581056230100859,0.709889138022076,0.499181885064508,1.95544713627469
-35.1697150293677,FIT9.txt,-1.24053013072146,0.246729843870981,1.92682790878638,0.559980033243781,0.715131709025541,0.482269162902048,1.10238413747732
-30.1713004197869,FIT10.txt,-1.24239507226454,0.242118092214626,2.01813312128684,0.549474994888988,0.719149606104024,0.478234335913033,1.38141212766944
-25.2022522706598,FIT11.txt,-1.22305780076029,0.225799321608363,2.04731815601904,0.511960387672055,0.726805166546481,0.461878087257966,2.65921666132278
-20.2001592915388,FIT12.txt,-1.20999088873441,0.201822994817519,2.0807043217945,0.455301605692088,0.730021335612814,0.453244126126776,2.03779124726912
-15.2023201345723,FIT13.txt,-1.17524074423665,0.190079689470377,2.05159245261289,0.427960165496813,0.736932666777836,0.432513368098551,2.06489571337634
-10.2002863702067,FIT14.txt,-1.14764794946236,0.17388297374334,2.02749963115741,0.38935356150104,0.741224664840408,0.417684474257889,2.50048876420766
-5.23139468639678,FIT15.txt,-1.05763593276605,0.151938213680655,1.83334749884196,0.340012383981805,0.748248050480985,0.377879176489416,2.61579196079536
-0.261540751587825,FIT16.txt,-0.467932028505043,0.0517117244940456,0.680628614799809,0.138243105697591,0.620761740796031,0.174503899894917,1.45391526987632
4.74151684161453,FIT17.txt,-1.86910592075057,0.26381063613606,3.992659520012,0.564349223224544,0.604907408300119,0.930447864376798,2.88997737561165
9.71748895153561,FIT18.txt,-1.8992854326147,0.38867034449329,4.12026879692834,0.877602629098098,0.561500081809666,1.0338397405445,2.65709931148131
14.711380509787,FIT19.txt,-1.37471676165049,0.0953982687937964,2.92017315756766,0.131864988074295,0.689656309445709,0.568030257337006,1.30589312350689
19.7108126401553,FIT20.txt,-1.00827460409976,0.107990481598757,2.08326638811238,0.204525658412851,0.669267892268674,0.412205162015934,2.00386710553305
