LOGCONC,CONC,I,IERR,FOPEN,FOPENERR,THETA,THETAERR,LOGQ,LOGQERR,V
--,0,-3299.80524752475,77.443478534495,0.986602721094531,0.0329583323060474,73.6420229851119,183.625093938638,1.86712571029373,1.08290568080455,-30.1697881188119
--,0,-3389.4227,81.5793088454276,1.01339727890547,0.0342831061754156,-75.6420229851113,191.005980931074,--,1.09665025147742,-30.187061
1.30102999566398,20,-2975.66653465346,67.6491646957901,0.889689081609056,0.0292651479879374,8.06528578119513,2.40499248677636,0.906619760565299,0.129502536470689,-30.1676712871287
1.30102999566398,20,-2884.10252525253,66.5171746842018,0.862312526311723,0.0285616049490386,6.26282481051246,1.506585366811,0.796770263387104,0.104473896543286,-30.1670747474748
1.77815125038364,60,-457.988696969697,20.4630471804182,0.136933200830499,0.00693033282191975,0.15865886738114,0.00930390508098187,-0.799535650338991,0.0254674365417937,-30.1723171717172
1.77815125038364,60,-412.008878787879,9.60881670920354,0.123185779291715,0.00410240722709787,0.140492451402313,0.00533609556572193,-0.852347009583751,0.0164950987470869,-30.1673878787879
2.25527250510331,180,-409.42501980198,12.5410699008131,0.122413236030768,0.00474642684710903,0.139488471176464,0.00616292188261948,-0.855461685661717,0.0191881303411551,-30.1743237623763
2.25527250510331,180,-395.737445544555,10.3756438420959,0.118320813298339,0.00418756040723123,0.134199394839947,0.00538691232749323,-0.872249442574362,0.0174330614613958,-30.1773435643565
2.73239375982297,540,-246.207346534653,5.7042913834106,0.0736130831438503,0.00244362192708468,0.0794625677504911,0.00284740463409613,-1.099837405278,0.0155621968348242,-30.1664584158416
2.73239375982297,540,-234.157,5.7425113630813,0.0700101721265595,0.00239122397445278,0.0752805783764841,0.00276480088406646,-1.1233170529077,0.015950166608794,-30.1778265306123
