LOGCONC,CONC,I,IERR,FOPEN,FOPENERR,THETA,THETAERR,LOGQ,LOGQERR,V
--,0,-2840.07080808081,84.7067362672181,1.01348736196206,0.0426570933352106,-75.1434835672901,234.496968912427,--,1.35528371572644,-25.2072141414141
--,0,-2764.4802,81.7356315566043,0.986512638037941,0.0413409339443139,73.1434835672901,227.26170359921,1.86417564041581,1.34938205028571,-25.199893
1.30102999566398,20,-2540.00555555556,74.9650606053169,0.906408221423375,0.0379504274021704,9.68469918200442,4.33252692477374,0.986086135574026,0.194285078014893,-25.2019818181818
1.30102999566398,20,-2410.6322,76.0030856686615,0.860240970784022,0.0372593273054872,6.15517276851313,1.90754705155651,0.789240247577466,0.134592023590254,-25.204476
1.77815125038364,60,-494.331816326531,20.7689019756037,0.176403717483805,0.0090760325125954,0.214187122050707,0.0133803442658086,-0.669206644570672,0.0271305278532609,-25.200362244898
1.77815125038364,60,-387.148401960784,11.3639357284537,0.138155010598559,0.00576877531018151,0.160301460584587,0.00776649919707326,-0.795062520559538,0.0210412789296772,-25.1940656862745
2.25527250510331,180,-394.91904040404,8.83361869627311,0.140927985073072,0.00523958362145125,0.164046765142336,0.00709966133137497,-0.785032329098015,0.0187955168571764,-25.2047464646465
2.25527250510331,180,-377.477707070707,10.5469818031775,0.134703995565907,0.00549261331408428,0.155673890640467,0.00733583625250045,-0.807784220454419,0.0204653021229149,-25.206601010101
2.73239375982297,540,-228.875833333333,5.36652277072174,0.0816749934127938,0.00309043621797535,0.0889390932697396,0.0036646032601427,-1.05090730247822,0.0178944591825081,-25.1979529411765
2.73239375982297,540,-243.65545,6.77619897048538,0.0869491417416632,0.00353764702098081,0.0952292426596263,0.00424350345059272,-1.02122966951901,0.0193525652526392,-25.207832
