V,VERR,I,IERR,CONC,CONCERR
-80.097006185567,0.0682344681431957,-5703.12824742268,145.11416746831,40,0
-75.0841118811881,0.0702512482393084,-5706.13762376237,92.5981115236658,40,0
-70.1244606060607,0.0717536720573302,-5529.28595959596,104.945028148959,40,0
-65.119939,0.0685509050051957,-5262.2194,125.405475389383,40,0
-60.145871,0.0634386921489222,-4887.3112,87.2495332512593,40,0
-55.140674,0.0691097961336399,-4436.1781,82.4001031516288,40,0
-50.1493171717172,0.0652480628469607,-4138.70161616161,76.0722907212554,40,0
-45.1447784313726,0.0629245511751337,-3853.70009803922,64.17840471952,40,0
-40.168465,0.0653325590783476,-3779.5437,80.2772789107239,40,0
-35.166326,0.0685207247773216,-3581.3657,72.4567802658554,40,0
-30.1652232323232,0.0701195311753382,-3425.78606060606,73.1940712095845,40,0
-25.196544,0.0711210128216733,-3199.1604,63.0486467090797,40,0
-20.193484,0.0700587392398886,-2777.2922,65.2760074694966,40,0
-15.1926138613861,0.0659868784286486,-2291.36554455445,76.6660652785913,40,0
-10.1882877,0.0875371645509485,-1796.3042,79.3257930836973,40,0
-5.23407622448979,0.0610730244323814,-1292.39765306122,80.8346646576106,40,0
-0.249579356435644,0.0706163219008438,-764.048336633663,74.0033552077622,40,0
4.74687,0.0649590216127047,-201.557898989899,89.8411080727933,40,0
9.7262576,0.0690935915720992,361.02293,72.0333356423609,40,0
14.7142529411765,0.0727371438756032,937.568843137255,81.1082653091898,40,0
19.719797029703,0.069566235203129,1463.51712871287,6.38397441867439,40,0
