V,VERR,I,IERR,CONC,CONCERR
-75.09015,0.0650622098675967,-5519.38108108108,102.648690972116,60,0
-70.1232222222222,0.0712653606295549,-5412.35424242424,109.158639196757,60,0
-65.115967,0.0662981101782059,-5228.6712,99.4111868079312,60,0
-60.144342,0.0612982922917683,-4892.4589,108.211405451504,60,0
-55.14586,0.0683791459352578,-4520.4714,92.4290623561898,60,0
-50.1453090909091,0.0647351076227657,-4142.48080808081,73.4901373672463,60,0
-45.141002,0.0680253422909265,-3803.235,75.7010704218137,60,0
-40.152591,0.0677037001890285,-3618.3498,66.9401281589653,60,0
-35.1593323232324,0.0667090301942307,-3526.20464646465,57.9779269965222,60,0
-30.1600303921569,0.0735778323293796,-3353.03539215686,69.3786980171879,60,0
-25.19624,0.0684625561961387,-3181.5794,59.422588446153,60,0
-20.1964737373737,0.0676154883102875,-2820.27434343434,60.5238379144235,60,0
-15.191403960396,0.073298052762814,-2405.39534653465,72.5627797502544,60,0
-10.1987282828283,0.0651593323625801,-1953.65545454546,61.9983621854617,60,0
-5.2249149,0.0654956009285771,-1470.28836,70.9583039416173,60,0
-0.24963376,0.0628959046597033,-974.35912,74.9023053290483,60,0
4.7518912,0.0657789025034771,-457.8002859,72.1975876735528,60,0
9.7155761,0.0707223745345145,76.898192,72.9274041392558,60,0
14.718623,0.067623248747051,619.82431,68.1870982098062,60,0
19.7236323529412,0.0650642610852107,1132.92598039216,7.29415240675618,60,0
