V,VERR,I,IERR,CONC,CONCERR
-80.0863041237113,0.0628221379920815,-8079.88144329897,101.918736124653,0,0
-75.1059111111111,0.0633493264276416,-8020.82434343435,123.352900913999,0,0
-70.115958,0.0681418904677154,-7846.5212,70.053060965269,0,0
-65.1177282828283,0.0686553948576378,-7548.6803030303,66.1481559857133,0,0
-60.1468178217822,0.0691008165896581,-7199.99722772277,77.3434061797043,0,0
-55.146474,0.0675491711509117,-6814.892,78.215257207327,0,0
-50.149831,0.067380533818823,-6377.524,78.7989831530759,0,0
-45.1444474747475,0.0713153281533856,-5878.04919191919,87.489690471227,0,0
-40.1731029411765,0.0687972603495826,-5356.8162745098,79.8469120784278,0,0
-35.1790636363636,0.0659764044915235,-4799.37646464647,79.7390122294634,0,0
-30.181262,0.073248898663113,-4215.4209,85.8336531214125,0,0
-25.191055,0.0754280284530167,-3608.9848,97.9210742432948,0,0
-20.200202,0.0691481944540361,-2978.9666,91.4840622865014,0,0
-15.1971383838384,0.0659267817133005,-2336.77444444444,85.5530309781169,0,0
-10.1955861386139,0.0666851224065839,-1684.28336633663,91.0138252937907,0,0
-5.2218301980198,0.0692323221170306,-1019.01815841584,98.6021904383501,0,0
-0.262202051020408,0.0706798680241099,-343.637336734694,93.1556608625241,0,0
4.7454829,0.069524242481189,345.30942,92.8358088574848,0,0
9.72060415841584,0.0686566663347767,1030.23732673267,99.9814554081224,0,0
14.7165606060606,0.0686933705323754,1674.03676767677,77.6928903683917,0,0
19.7140598039216,0.0600627176476939,2274.21225490196,21.1755510105301,0,0
